"label"	"file"	"line"	"pattern"	"text"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1982"	"smoke_missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1991"	"missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1991"	"smoke_missing_flag"	"[""unit_id"", ""year"", ""smoke_days"", ""smoke_score_mean"", ""smoke_score_p80"", ""smoke_method"", ""smoke_missing_flag""],"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1996"	"v0_gfas_era5_real"	"# Optional daily proxy table generated when v0_gfas_era5_real decoder probe is available."
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"1997"	"v0_gfas_era5_real"	"if route_selected == ""v0_gfas_era5_real"" and decoder_payload:"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2012"	"gfas_pm2p5fire_gdal"	"day_method = ""gfas_pm2p5fire_gdal_unit_negative_lon"""
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2135"	"missing_flag"	"write_csv(out_path, [""unit_id"", ""pop_2015_sum"", ""pop_2020_sum"", ""pop_2025_sum"", ""pop_2030_sum"", ""pop_missing_flag""], rows_out, delim="";"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2281"	"missing_flag"	"write_csv(out_path, [""unit_id"", ""total_burn_ha_2015_2024"", ""years_area_gt_p75"", ""n_events_gt_1000ha"", ""recurrence_class"", ""recurrence_missing_flag""], rows_out, delim="";"")"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2304"	"missing_flag"	"if has_missing_flag(pop_rows) or has_missing_flag(smoke_rows):"
"moduleC_pipeline_v2.py"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"	"2305"	"missing_flag"	"report.fail(""Placeholder detected (missing_flag=1). IECH will not be computed."")"
